formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
NaCuS3,3.183391590840257,3.323401871576774,3.4634121523132904,,1.39,1.35,1.0,0.93,1.9,2.58,0.5,1.235784,2.07710426,0.7191426412918502,1.35,36.641825427766,8.281210614395286,0.6800000000000002,1.35,0.0421286038062226,0.9312270738998788,-2.929976190655006,0.1431434522633621,0,Cu,1,0.0
NaCuSe3,3.386203820042827,3.5355339059327378,3.684863991822649,,1.39,1.35,1.15,0.93,1.9,2.55,0.5,1.235784,2.020604712,0.7184204896855323,1.173913043478261,44.115333275796544,12.17393212261662,0.6499999999999999,1.173913043478261,0.0422369265471702,0.9218420251970486,-2.740513846227049,0.1002806526272195,0,Cu,1,0.0
NaCdI3,3.964640507650536,4.171930009000631,4.379219510350725,,1.39,1.55,1.4,0.93,1.69,2.66,0.5,-0.72,3.059046537,0.6687552269527007,1.1071428571428572,72.43317840738736,11.83225434918086,0.9700000000000002,1.1071428571428572,0.0496867159570948,0.8467134536841439,-2.178140705100786,-0.0085539658943704,0,Cd,1,0.0
NaCdBr3,3.626620125646253,3.818376618407357,4.010133111168461,,1.39,1.55,1.15,0.93,1.69,2.96,0.5,-0.72,3.3635883,0.6652041571162335,1.347826086956522,55.53152727840612,11.217122923030804,1.27,1.347826086956522,0.050219376432565,0.8276362427874827,-2.4939112791473823,0.0628840334992005,0,Cd,1,0.0
NaCdCl3,3.423807896443684,3.606244584051392,3.788681271659101,,1.39,1.55,1.0,0.93,1.69,3.16,0.5,-0.72,3.61272528,0.6627392968768033,1.55,46.779183654245024,8.582042140241809,1.4700000000000002,1.55,0.0505891054684794,0.8425627217122164,-2.6833736235753403,0.1057468331353422,0,Cd,1,0.0
NaCdF3,2.7477671324351185,2.899137802864845,3.050508473294572,,1.39,1.55,0.5,0.93,1.69,3.98,0.5,-0.72,3.401189824,0.6519179592402804,3.1,24.30082505705844,13.147228795362098,2.29,3.1,0.0522123061139579,1.169459141609576,-3.314914771668531,0.2486228319224837,0,Cd,1,0.0
NaCdO3,2.882975285236832,3.0405591591021546,3.198143032967478,,1.39,1.55,0.6,0.93,1.69,3.44,0.5,-0.72,1.461112979,0.6544848811912695,2.583333333333333,28.03446420148257,10.863352679566525,1.75,2.583333333333333,0.0518272678213095,1.0545006861937938,-3.1886065420498926,0.2200476321650549,0,Cd,1,0.0
NaCdS3,3.423807896443684,3.606244584051392,3.788681271659101,,1.39,1.55,1.0,0.93,1.69,2.58,0.5,-0.72,2.07710426,0.6627392968768033,1.55,46.779183654245024,8.221238204280104,0.8900000000000001,1.55,0.0505891054684794,0.8425627217122164,-2.6833736235753403,0.1057468331353422,0,Cd,1,0.0
NaCdSe3,3.626620125646253,3.818376618407357,4.010133111168461,,1.39,1.55,1.15,0.93,1.69,2.55,0.5,-0.72,2.020604712,0.6652041571162335,1.347826086956522,55.53152727840612,11.132436677401264,0.8599999999999999,1.347826086956522,0.050219376432565,0.8276362427874827,-2.4939112791473823,0.0628840334992005,0,Cd,1,0.0
NaHgI3,3.9045364312496793,4.101219330881976,4.297902230514272,,1.39,1.5,1.4,0.93,2.0,2.66,0.5,-0.52,3.059046537,0.6802854894863681,1.0714285714285714,68.82385690830839,14.5803494934968,0.6600000000000001,1.0714285714285714,0.0479571765770448,0.8698841529283214,-2.239791346870703,0.0007951888876345,0,Hg,1,0.0
NaHgBr3,3.566516049245397,3.747665940288702,3.928815831332007,,1.39,1.5,1.15,0.93,2.0,2.96,0.5,-0.52,3.3635883,0.6777551789486154,1.3043478260869563,52.51298741284109,14.650319901151576,0.96,1.3043478260869563,0.0483367231577076,0.8473816212439378,-2.555561920917299,0.0722331882812049,0,Hg,1,0.0
NaHgCl3,3.363703820042827,3.5355339059327378,3.707363991822649,,1.39,1.5,1.0,0.93,2.0,3.16,0.5,-0.52,3.61272528,0.6759940828143394,1.5,44.08978514057388,12.426665737601695,1.16,1.5,0.0486008875778491,0.860812362670712,-2.7450242653452563,0.1150959879173473,0,Hg,1,0.0
NaHgF3,2.687663056034262,2.8284271247461903,2.9691911934581188,,1.39,1.5,0.5,0.93,2.0,3.98,0.5,-0.52,3.401189824,0.6682159082212873,3.0,22.57137306353833,20.64192562000594,1.98,3.0,0.0497676137668068,1.1943206890007108,-3.376565413438448,0.2579719867044885,0,Hg,1,0.0
NaHgO3,2.822871208835975,2.9698484809835,3.1168257531310246,,1.39,1.5,0.6,0.93,2.0,3.44,0.5,-0.52,1.461112979,0.6700678545529664,2.5,26.129907989408583,17.259010975619706,1.44,2.5,0.049489821817055,1.0754342329193902,-3.25025718381981,0.2293967869470601,0,Hg,1,0.0
NaHgS3,3.363703820042827,3.5355339059327378,3.707363991822649,,1.39,1.5,1.0,0.93,2.0,2.58,0.5,-0.52,2.07710426,0.6759940828143394,1.5,44.08978514057388,12.043853402959702,0.5800000000000001,1.5,0.0486008875778491,0.860812362670712,-2.7450242653452563,0.1150959879173473,0,Hg,1,0.0
NaHgSe3,3.566516049245397,3.747665940288702,3.928815831332007,,1.39,1.5,1.15,0.93,2.0,2.55,0.5,-0.52,2.020604712,0.6777551789486154,1.3043478260869563,52.51298741284109,14.560765739581774,0.5499999999999998,1.3043478260869563,0.0483367231577076,0.8473816212439378,-2.555561920917299,0.0722331882812049,0,Hg,1,0.0
NaInI3,3.964640507650536,4.171930009000631,4.379219510350725,,1.39,1.55,1.4,0.93,1.78,2.66,0.5,0.299,3.059046537,0.6687552269527007,1.1071428571428572,72.43317840738736,11.887436394863483,0.8800000000000001,1.1071428571428572,0.0496867159570948,0.8467134536841439,-2.178140705100786,-0.0085539658943704,0,In,1,0.0
NaInBr3,3.626620125646253,3.818376618407357,4.010133111168461,,1.39,1.55,1.15,0.93,1.78,2.96,0.5,0.299,3.3635883,0.6652041571162335,1.347826086956522,55.53152727840612,11.289100251148852,1.18,1.347826086956522,0.050219376432565,0.8276362427874827,-2.4939112791473823,0.0628840334992005,0,In,1,0.0
NaInCl3,3.423807896443684,3.606244584051392,3.788681271659101,,1.39,1.55,1.0,0.93,1.78,3.16,0.5,0.299,3.61272528,0.6627392968768033,1.55,46.779183654245024,8.667486362384649,1.38,1.55,0.0505891054684794,0.8425627217122164,-2.6833736235753403,0.1057468331353422,0,In,1,0.0
NaInF3,2.7477671324351185,2.899137802864845,3.050508473294572,,1.39,1.55,0.5,0.93,1.78,3.98,0.5,0.299,3.401189824,0.6519179592402804,3.1,24.30082505705844,13.311709258491604,2.2,3.1,0.0522123061139579,1.169459141609576,-3.314914771668531,0.2486228319224837,0,In,1,0.0
