formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
RbSnI3,Rb,Sn,I,1.72,1.1,2.2,0.82,1.96,2.66,0.48,1.11,3.05,0.8399571461367472,0.5,287.4960000000001,3.3778068038122764,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.4199785730683736,0.0,0.6,0.0,0.0,1,0
RbSnBr3,Rb,Sn,Br,1.72,1.1,1.96,0.82,1.96,2.96,0.48,1.11,3.36,0.8503767826034296,0.5612244897959184,229.22092800000001,3.2150836752277026,1.0,0.5612244897959184,3.06,0.10679653124866505,0.47725227595090447,0.0,0.6,0.0,0.0,1,0
RbSnCl3,Rb,Sn,Cl,1.72,1.1,1.81,0.82,1.96,3.16,0.48,1.11,3.61,0.8577618342228566,0.6077348066298343,197.13736800000004,2.6137982957454526,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.5212917224558797,0.0,0.6,0.0,0.0,1,0
RbSnF3,Rb,Sn,F,1.72,1.1,1.33,0.82,1.96,3.98,0.48,1.11,3.4,0.8875208570448434,0.8270676691729324,114.79125600000002,3.7727500027664496,2.02,0.8270676691729324,2.43,0.16935087808430285,0.7340398065784419,0.0,0.6,0.0,0.0,0,0
RbSnO3,Rb,Sn,O,1.72,1.1,1.4,0.82,1.96,3.44,0.48,1.11,1.46,0.8824692629208113,0.7857142857142858,125.0,3.3490534706077724,1.48,0.7857142857142858,2.5,0.16,0.6933687065806375,0.0,0.6,0.0,0.0,0,0
RbGeI3,Rb,Ge,I,1.72,0.73,2.2,0.82,2.01,2.66,0.48,1.23,3.05,0.9460268198809781,0.3318181818181818,201.23005600000002,4.445425908692205,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.31390889932414273,0.0,0.6,0.0,0.0,0,0
RbGeBr3,Rb,Ge,Br,1.72,0.73,1.96,0.82,2.01,2.96,0.48,1.23,3.36,0.9673431058611504,0.37244897959183676,155.72087199999999,4.240997464453665,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.3602859526931836,0.0,0.6,0.0,0.0,0,0
RbGeCl3,Rb,Ge,Cl,1.72,0.73,1.81,0.82,2.01,3.16,0.48,1.23,3.61,0.982711392751383,0.4033149171270718,131.09651200000002,3.3465777959623604,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.39634216392735333,0.0,0.6,0.0,0.0,1,0
RbGeF3,Rb,Ge,F,1.72,0.73,1.33,0.82,2.01,3.98,0.48,1.23,3.4,1.0469299430189174,0.5488721804511277,69.934528,5.097997816940057,1.9700000000000002,0.5488721804511277,2.06,0.2356489772834386,0.5746307206043682,0.0,0.6,0.0,0.0,1,0
RbGeO3,Rb,Ge,O,1.72,0.73,1.4,0.82,2.01,3.44,0.48,1.23,1.46,1.0357620456817034,0.5214285714285715,77.308776,4.424841023315911,1.4300000000000002,0.5214285714285715,2.13,0.2204148206925434,0.5400759238197453,0.0,0.6,0.0,0.0,1,0
RbTiI3,Rb,Ti,I,1.72,0.6,2.2,0.82,1.54,2.66,0.48,0.08,3.05,0.9899494936611664,0.2727272727272727,175.61600000000004,4.859300821671365,1.12,0.2727272727272727,2.8000000000000003,0.12755102040816324,0.26998622554395446,0.0,0.6,0.0,0.0,0,0
RbTiBr3,Rb,Ti,Br,1.72,0.6,1.96,0.82,1.54,2.96,0.48,0.08,3.36,1.0164659979556618,0.30612244897959184,134.21772800000002,4.613619237118724,1.42,0.30612244897959184,2.56,0.152587890625,0.311163060598672,0.0,0.6,0.0,0.0,0,0
RbTiCl3,Rb,Ti,Cl,1.72,0.6,1.81,0.82,1.54,3.16,0.48,0.08,3.61,1.0357207209910841,0.3314917127071823,111.98016800000002,3.55011384458691,1.62,0.3314917127071823,2.41,0.1721733441228629,0.34333283568765216,0.0,0.6,0.0,0.0,0,0
RbTiF3,Rb,Ti,F,1.72,0.6,1.33,0.82,1.54,3.98,0.48,0.08,3.4,1.1174485402170826,0.45112781954887216,57.512456000000014,5.483051178015909,2.44,0.45112781954887216,1.9300000000000002,0.2684635829149775,0.5041121234062027,0.0,0.6,0.0,0.0,0,0
RbTiO3,Rb,Ti,O,1.72,0.6,1.4,0.82,1.54,3.44,0.48,0.08,1.46,1.103086578651014,0.4285714285714286,64.0,4.701511125871804,1.9,0.4285714285714286,2.0,0.25,0.4727513908504346,0.0,0.6,0.0,0.0,0,0
RbZnI3,Rb,Zn,I,1.72,0.74,2.2,0.82,1.65,2.66,0.48,0.0,3.05,0.9428090415820631,0.3363636363636363,203.29747200000008,4.340590551061718,1.0100000000000002,0.3363636363636363,2.9400000000000004,0.11569253551760837,0.3171266776230576,0.0,0.6,0.0,0.0,0,0
RbZnBr3,Rb,Zn,Br,1.72,0.74,1.96,0.82,1.65,2.96,0.48,0.0,3.36,0.9637603536172201,0.37755102040816324,157.46400000000003,4.117065518356349,1.31,0.37755102040816324,2.7,0.1371742112482853,0.3638687049371137,0.0,0.6,0.0,0.0,0,0
RbZnCl3,Rb,Zn,Cl,1.72,0.74,1.81,0.82,1.65,3.16,0.48,0.0,3.61,0.9788576225837305,0.4088397790055249,132.65099999999998,3.2159761905697213,1.5100000000000002,0.4088397790055249,2.55,0.15378700499807768,0.40019593409500587,0.0,0.6,0.0,0.0,1,0
RbZnF3,Rb,Zn,F,1.72,0.74,1.33,0.82,1.65,3.98,0.48,0.0,3.4,1.0418723104439465,0.556390977443609,70.95794400000003,4.853633478172423,2.33,0.556390977443609,2.0700000000000003,0.23337767509160068,0.5796883531793386,0.0,0.6,0.0,0.0,1,0
RbZnO3,Rb,Zn,O,1.72,0.74,1.4,0.82,1.65,3.44,0.48,0.0,1.46,1.0309220361224432,0.5285714285714286,78.40275199999996,4.2084852452002135,1.79,0.5285714285714286,2.1399999999999997,0.218359682068303,0.5449159333790057,0.0,0.6,0.0,0.0,1,0
RbMgI3,Rb,Mg,I,1.72,0.72,2.2,0.82,1.31,2.66,0.48,0.0,3.05,0.9492666377572829,0.3272727272727272,199.17670399999997,4.088567470685361,1.35,0.3272727272727272,2.92,0.11728279226871835,0.310669081447838,0.0,0.6,0.0,0.0,0,0
RbMgBr3,Rb,Mg,Br,1.72,0.72,1.96,0.82,1.31,2.96,0.48,0.0,3.36,0.970952595062125,0.3673469387755102,153.99065599999994,3.7677994673732482,1.65,0.3673469387755102,2.6799999999999997,0.13922922699933174,0.35667646349220916,0.0,0.6,0.0,0.0,0,0
RbMgCl3,Rb,Mg,Cl,1.72,0.72,1.81,0.82,1.31,3.16,0.48,0.0,3.61,0.9865956275053409,0.39779005524861877,129.55421600000003,2.767326109480346,1.85,0.39779005524861877,2.5300000000000002,0.1562280304332203,0.3924579291733953,0.0,0.6,0.0,0.0,0,0
RbMgF3,Rb,Mg,F,1.72,0.72,1.33,0.82,1.31,3.98,0.48,0.0,3.4,1.052036918350717,0.5413533834586466,68.92099999999998,4.00923026966348,2.67,0.5413533834586466,2.05,0.2379535990481856,0.5695237452725685,0.0,0.6,0.0,0.0,0,0
RbMgO3,Rb,Mg,O,1.72,0.72,1.4,0.82,1.31,3.44,0.48,0.0,1.46,1.0406477157085037,0.5142857142857143,76.225024,3.435527050144107,2.13,0.5142857142857143,2.12,0.22249911000355996,0.5351902537929448,0.0,0.6,0.0,0.0,1,0
RbSrI3,Rb,Sr,I,1.72,1.18,2.2,0.82,0.95,2.66,0.48,0.05,3.05,0.8200765036246349,0.5363636363636363,308.915776,2.976416370417168,1.7100000000000002,0.5363636363636363,3.38,0.08753194916144394,0.4398592155804859,0.0,0.6,0.0,0.0,1,0
RbSrBr3,Rb,Sr,Br,1.72,1.18,1.96,0.82,0.95,2.96,0.48,0.05,3.36,0.8287111320912405,0.6020408163265306,247.67315199999993,2.767035853490705,2.01,0.6020408163265306,3.1399999999999997,0.10142399285975091,0.49891792646309374,0.0,0.6,0.0,0.0,1,0
RbSrCl3,Rb,Sr,Cl,1.72,1.18,1.81,0.82,0.95,3.16,0.48,0.05,3.61,0.8348116848122115,0.6519337016574586,213.84719200000004,2.1680590709082233,2.21,0.6519337016574586,2.99,0.11185557208532342,0.5442418718665246,0.0,0.6,0.0,0.0,1,0
