formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KCuSe3,,1.64,1.35,1.15,0.82,1.9,2.55,0.5,1.235784,2.020604712,0.789131167804187,1.173913043478261,3.423703820042827,3.5355339059327378,3.6473639918226484,44.149958549879294,12.770262106585669
KCdI3,,1.64,1.55,1.4,0.82,1.69,2.66,0.5,-0.72,3.059046537,0.7286795304430862,1.1071428571428572,4.0021405076505365,4.171930009000631,4.341719510350726,72.49217142765468,12.191623490386174
KCdBr3,,1.64,1.55,1.15,0.82,1.69,2.96,0.5,-0.72,3.3635883,0.7306770072260991,1.347826086956522,3.6641201256462534,3.818376618407357,3.9726331111684607,55.58107257441549,11.688393319981662
KCdCl3,,1.64,1.55,1.0,0.82,1.69,3.16,0.5,-0.72,3.61272528,0.7320634911107785,1.55,3.4613078964436834,3.6062445840513924,3.751181271659101,46.82345572154502,9.145211275392942
KCdF3,,1.64,1.55,0.5,0.82,1.69,3.98,0.5,-0.72,3.401189824,0.7381504935313227,3.1,2.785267132435118,2.899137802864845,3.013008473294572,24.32966147698975,14.231105396981006
KCdO3,,1.64,1.55,0.6,0.82,1.69,3.44,0.5,-0.72,1.461112979,0.7367065999338912,2.5833333333333335,2.920475285236831,3.0405591591021546,3.160643032967478,28.066124146990692,11.804185710822638
KCdS3,,1.64,1.55,1.0,0.82,1.69,2.58,0.5,-0.72,2.07710426,0.7320634911107785,1.55,3.4613078964436834,3.6062445840513924,3.751181271659101,46.82345572154502,8.784748483327792
KCdSe3,,1.64,1.55,1.15,0.82,1.69,2.55,0.5,-0.72,2.020604712,0.7306770072260991,1.347826086956522,3.6641201256462534,3.818376618407357,3.9726331111684607,55.58107257441549,11.603782564171107
KHgI3,,1.64,1.5,1.4,0.82,2.0,2.66,0.5,-0.52,3.059046537,0.7412429706231395,1.0714285714285714,3.942036431249679,4.1012193308819755,4.260402230514272,68.87858754687625,14.957120837054198
KHgBr3,,1.64,1.5,1.15,0.82,2.0,2.96,0.5,-0.52,3.3635883,0.7444633658530067,1.3043478260869565,3.6040160492453968,3.747665940288702,3.891315831332007,52.55863395336881,15.146541576408996
KHgCl3,,1.64,1.5,1.0,0.82,2.0,3.16,0.5,-0.52,3.61272528,0.7467047609329941,1.5,3.4012038200428267,3.5355339059327378,3.6698639918226483,44.13037662812289,13.021382007174738
KHgF3,,1.64,1.5,0.5,0.82,2.0,3.98,0.5,-0.52,3.401189824,0.7566042558696057,3.0,2.7251630560342615,2.8284271247461903,2.9316911934581187,22.597256156154234,21.80203075652984
KHgO3,,1.64,1.5,0.6,0.82,2.0,3.44,0.5,-0.52,1.461112979,0.7542472332656506,2.5,2.860371208835975,2.9698484809835,3.079325753131025,26.158469157114187,18.262759786227985
KHgS3,,1.64,1.5,1.0,0.82,2.0,2.58,0.5,-0.52,2.07710426,0.7467047609329941,1.5,3.4012038200428267,3.5355339059327378,3.6698639918226483,44.13037662812289,12.638921786502811
KHgSe3,,1.64,1.5,1.15,0.82,2.0,2.55,0.5,-0.52,2.020604712,0.7444633658530067,1.3043478260869565,3.6040160492453968,3.747665940288702,3.891315831332007,52.55863395336881,15.05706519154985
KInI3,,1.64,1.55,1.4,0.82,1.78,2.66,0.5,0.299,3.059046537,0.7286795304430862,1.1071428571428572,4.0021405076505365,4.171930009000631,4.341719510350726,72.49217142765468,12.246760629764086
KInBr3,,1.64,1.55,1.15,0.82,1.78,2.96,0.5,0.299,3.3635883,0.7306770072260991,1.347826086956522,3.6641201256462534,3.818376618407357,3.9726331111684607,55.58107257441549,11.76030648708477
KInCl3,,1.64,1.55,1.0,0.82,1.78,3.16,0.5,0.299,3.61272528,0.7320634911107785,1.55,3.4613078964436834,3.6062445840513924,3.751181271659101,46.82345572154502,9.230574709129742
KInF3,,1.64,1.55,0.5,0.82,1.78,3.98,0.5,0.299,3.401189824,0.7381504935313227,3.1,2.785267132435118,2.899137802864845,3.013008473294572,24.32966147698975,14.395390911746357
KInO3,,1.64,1.55,0.6,0.82,1.78,3.44,0.5,0.299,1.461112979,0.7367065999338912,2.5833333333333335,2.920475285236831,3.0405591591021546,3.160643032967478,28.066124146990692,11.946599780498968
KInS3,,1.64,1.55,1.0,0.82,1.78,2.58,0.5,0.299,2.07710426,0.7320634911107785,1.55,3.4613078964436834,3.6062445840513924,3.751181271659101,46.82345572154502,8.870111917064591
KInSe3,,1.64,1.55,1.15,0.82,1.78,2.55,0.5,0.299,2.020604712,0.7306770072260991,1.347826086956522,3.6641201256462534,3.818376618407357,3.9726331111684607,55.58107257441549,11.675695731274216
KTlI3,,1.64,1.9,1.4,0.82,1.62,2.66,0.5,0.32005319,3.059046537,0.6513953378203348,1.3571428571428572,4.422869042456532,4.666904755831213,4.9109404692058956,101.36725539910023,10.225436439209654
KTlBr3,,1.64,1.9,1.15,0.82,1.62,2.96,0.5,0.32005319,3.3635883,0.6468288260690057,1.6521739130434783,4.084848660452249,4.31335136523794,4.541854070023631,80.02468703872287,10.026663447769405
KTlCl3,,1.64,1.9,1.0,0.82,1.62,3.16,0.5,0.32005319,3.61272528,0.6437110008043053,1.9,3.8820364312496793,4.1012193308819755,4.320402230514272,68.78548187907096,8.445642109377005
KTlF3,,1.64,1.9,0.5,0.82,1.62,3.98,0.5,0.32005319,3.401189824,0.6305035465580048,3.8,3.2059956672411136,3.394112549695428,3.582229432149742,38.9800658483771,12.800520803297164
