formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,volume,density,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
CsTiCl3,Cs,Ti,Cl,1.88,0.6,1.81,0.79,1.54,3.16,0.47,0.08,3.61,1.0826655695345893,0.3314917127071823,1.62,0.3314917127071823,2.41,0.1721733441228629,0.35889466393411795,111.98016800000002,4.254501512163677,0.0,0.6,0.6106531252622015,0.9782235988242938,0,4
RbPbI3,Rb,Pb,I,1.72,1.19,2.2,0.82,2.33,2.66,0.48,0.36,3.05,0.8176573988941788,0.5409090909090909,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.44227832031094216,311.66575200000005,3.5873915570498633,0.0,0.6,0.693018502910722,1.1668100282358551,1,2
RbPbBr3,Rb,Pb,Br,1.72,1.19,1.96,0.82,2.33,2.96,0.48,0.36,3.36,0.8260803031004745,0.6071428571428571,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.5015487554538595,250.04699999999997,3.535037837330289,0.0,0.6,1.0468680377408035,1.0816641864462526,1,2
RbPbCl3,Rb,Pb,Cl,1.72,1.19,1.81,0.82,2.33,3.16,0.48,0.36,3.61,0.8320289791961709,0.6574585635359116,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.5470245774825654,216.0,3.0659187915913257,0.0,0.6,1.2706952991359801,1.0186178143961224,1,2
RbSnI3,Rb,Sn,I,1.72,1.1,2.2,0.82,1.96,2.66,0.48,1.11,3.05,0.8399571461367472,0.5,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.4199785730683736,287.4960000000001,3.3778068038122764,0.0,0.6,0.7523274151133227,0.7274741463137575,1,3
RbSnBr3,Rb,Sn,Br,1.72,1.1,1.96,0.82,1.96,2.96,0.48,1.11,3.36,0.8503767826034296,0.5612244897959184,1.0,0.5612244897959184,3.06,0.10679653124866505,0.47725227595090447,229.22092800000001,3.2150836752277026,0.0,0.6,1.1061769499434042,0.642328304524155,1,3
RbSnCl3,Rb,Sn,Cl,1.72,1.1,1.81,0.82,1.96,3.16,0.48,1.11,3.61,0.8577618342228566,0.6077348066298343,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.5212917224558797,197.13736800000004,2.6137982957454526,0.0,0.6,1.330004211338581,0.5792819324740247,1,3
RbGeI3,Rb,Ge,I,1.72,0.73,2.2,0.82,2.01,2.66,0.48,1.23,3.05,0.9460268198809781,0.3318181818181818,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.31390889932414273,201.23005600000002,4.445425908692205,0.0,0.6,-0.31704925940483564,1.4138463727294197,0,0
RbGeBr3,Rb,Ge,Br,1.72,0.73,1.96,0.82,2.01,2.96,0.48,1.23,3.36,0.9673431058611504,0.37244897959183676,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.3602859526931836,155.72087199999999,4.240997464453665,0.0,0.6,0.036800275425246026,1.3287005309398172,0,0
RbGeCl3,Rb,Ge,Cl,1.72,0.73,1.81,0.82,2.01,3.16,0.48,1.23,3.61,0.982711392751383,0.4033149171270718,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.39634216392735333,131.09651200000002,3.3465777959623604,0.0,0.6,0.2606275368204227,1.265654158889687,1,0
