formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index
LiAlO3,3.709189,3.709189,3.709189,0,0.9,0.675,1.26,0.98,1.61,3.44,0.61804922,0.432835,1.461112979,0.789447716,0.535714286,51.03133026,2.665668053,1.83,0.535714286,0,0.57767147
LiAsO3,5.220009522,6.847584682,6.847585503,2.9408,0.9,0.66,1.26,0.98,2.18,3.44,0.61804922,0.8044863,1.461112979,0.795615276,0.523809524,229.1600081,3.763988899,1.26,0.523809524,0.149036045,0.128274366
LiAsO3,5.462122369,5.462123678,5.462122762,3.3858,0.9,0.66,1.26,0.98,2.18,3.44,0.61804922,0.8044863,1.461112979,0.795615276,0.523809524,94.39200397,4.569008445,1.26,0.523809524,1.23E-07,0.311417847
LiBO3,3.307567,3.307567,3.307567,0,0.9,0.41,1.26,0.98,2.04,3.44,0.61804922,0.27972325,1.461112979,0.914719359,0.325396825,36.18478119,3.017312034,1.4,0.325396825,0,0.787065416
LiBeO3,3.507241,3.507241,3.507241,0,0.9,0.59,1.26,0.98,1.57,3.44,0.61804922,-0.52,1.461112979,0.825719638,0.468253968,43.14165767,2.461513394,1.87,0.468253968,0,0.673395167
LiBiO3,4.94691395,8.88109117,10.77666513,0.1443,1.035,0.9,1.26,2.02,0.98,3.44,0.94236213,0.61804922,1.461112979,0.751414427,0.714285714,473.461939,7.40501012,2.46,0.714285714,0.362576139,0.069351469
LiCaAl3,6.933798682,6.933798682,5.243784,0,1.14,0.9,0.675,1,0.98,1.61,0.024551,0.61804922,0.432835,0.814979457,1.333333333,218.3322314,1.946470127,0.63,1.333333333,0.15316482,0.060111386
LiCaO3,3.77971,3.77971,3.77971,0,1.14,0.9,1.26,1,0.98,3.44,0.024551,0.61804922,1.461112979,0.785792865,0.714285714,53.99772205,2.921970902,2.46,0.714285714,0,0.637007821
LiCdO3,3.761737,3.761737,3.761737,0,1.09,0.9,1.26,1.69,0.98,3.44,-0.72,0.61804922,1.461112979,0.76942218,0.714285714,53.23108107,5.220475318,2.46,0.714285714,0,0.631505097
LiCeO3,3.68336,3.68336,3.68336,0,1.08,0.9,1.26,1.12,0.98,3.44,0.60016027,0.61804922,1.461112979,0.766148043,0.714285714,49.97266407,6.48147914,2.46,0.714285714,0,0.66972142
LiCoF3,5.122774174,5.119782161,7.56879515,2.833,0.9,0.768333333,0.705,0.98,1.88,3.98,0.61804922,0.66225547,3.401189824,0.770414792,1.089834515,171.6104727,3.566730687,2.1,1.089834515,0.238006989,0.054523756
