formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
TbHoO3,5.691931,5.952072,8.435282,4.7786,1.041,0.9815,1.26,1.23,1.1,3.44,0.338,0.131318,1.461112979,0.725986368,0.778968254,285.7770895,8.642790494,2.34,0.778968254,0.22625922,0.118356153,0.368063508,0.193491908,0,Other,1,1
TbInO3,5.567067,5.898466,8.204513,2.9112,0.9815,0.94,1.26,1.1,1.78,3.44,0.131318,0.299,1.461112979,0.720554198,0.746031746,269.4128685,7.932277564,1.66,0.746031746,0.219112528,0.120919224,0.265046322,0.192861627,0,Other,1,1
TbLuO3,5.616018,5.884038,8.266365,4.9973,1.001,0.9815,1.26,1.27,1.1,3.44,0.23887,0.131318,1.461112979,0.713366005,0.778968254,273.1609016,9.286016758,2.34,0.778968254,0.221432413,0.121904057,0.287893739,0.188128245,0,Other,1,1
TbMgS3,6.931231037,6.931231037,6.773727427,0.2,0.9815,0.86,0.88,1.1,1.31,2.58,0.131318,-0.42,2.07710426,0.756596596,0.977272727,262.6897631,3.532659243,1.27,0.977272727,0.013219701,0.057819236,0.926901501,-0.755751145,0,Other,1,1
TbMnO3,3.407102,6.037715,13.165208,0.9345,0.9815,0.8775,1.26,1.1,1.55,3.44,0.131318,-0.52,1.461112979,0.741623034,0.696428571,270.8229532,6.422371567,1.89,0.696428571,0.669896714,0.117893761,0.295659376,2.242293641,0,Other,1,1
TbMnO3,5.27122738,5.63501917,7.56732549,0.4016,0.9815,0.8775,1.26,1.1,1.55,3.44,0.131318,-0.52,1.461112979,0.741623034,0.696428571,224.7758055,7.738046496,1.89,0.696428571,0.200412832,0.142045255,-0.043413506,0.176855501,0,Other,1,1
TbRhO3,5.22941294,5.77580762,7.6000779,0.8749,0.9815,0.745,1.26,1.1,2.28,3.44,0.131318,1.142892,1.461112979,0.790633036,0.591269841,229.5533845,8.964942819,1.16,0.591269841,0.200170061,0.134304667,-0.002240619,0.194668339,0,Other,1,1
TbScO3,5.4395561,5.73025335,7.93211736,4.4378,0.9815,0.885,1.26,1.1,1.36,3.44,0.131318,0.17938023,1.461112979,0.739029947,0.702380952,247.2443723,6.766676756,2.08,0.702380952,0.214052166,0.129432795,0.112410522,0.189231393,0,Other,1,1
TbScS3,6.38954675,7.02160892,9.52792106,1.7696,0.9815,0.885,0.88,1.1,1.36,2.58,0.131318,0.17938023,2.07710426,0.74587993,1.005681818,427.4692108,4.662683004,1.22,1.005681818,0.217076417,0.036090771,1.194710675,0.111986739,0,Other,1,1
TbSmO3,5.829079,6.07813,8.507765,4.7475,1.229,0.9815,1.26,1.17,1.1,3.44,0.162,0.131318,1.461112979,0.785302073,0.778968254,301.4292627,7.872935592,2.34,0.778968254,0.217471791,0.122329988,0.477105025,0.148084704,0,Other,1,1
