formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
KGeF3,4.12,4.12,4.12,,1.64,0.73,1.33,0.82,2.01,3.98,0.5,1.23,3.4,1.019469485,0.54887218,69.934528,3.998524677,1.97,0.54887218,0,0.710237697,1.7329,0.332712295,Stable_Cubic,Ge,1,2
KZnI3,5.88,5.88,5.88,,1.64,0.74,2.2,0.82,1.65,2.66,0.5,-0.6,3.06,0.923568041,0.336363636,203.297472,3.96231171,1.01,0.336363636,1.51E-16,0.757415378,2.31266,0.415153514,Stable_Cubic,Zn,1,8
KZnBr3,5.4,5.4,5.4,,1.64,0.74,1.96,0.82,1.65,2.96,0.5,-0.6,3.36,0.942809042,0.37755102,157.464,3.628713954,1.31,0.37755102,1.64E-16,0.729010169,2.17418,0.399637421,Stable_Cubic,Zn,1,8
KZnCl3,5.1,5.1,5.1,,1.64,0.74,1.81,0.82,1.65,3.16,0.5,-0.6,3.61,0.95667388,0.408839779,132.651,2.636314268,1.51,0.408839779,0,0.713822289,2.08763,0.38731871,Stable_Cubic,Zn,1,8
KZnF3,4.14,4.14,4.14,,1.64,0.74,1.33,0.82,1.65,3.98,0.5,-0.6,3.4,1.014544512,0.556390977,70.957944,3.770021775,2.33,0.556390977,0,0.700950775,1.81067,0.323914549,Stable_Cubic,Zn,1,8
KMgI3,5.84,5.84,5.84,,1.64,0.72,2.2,0.82,1.31,2.66,0.5,-0.4,3.06,0.929893849,0.327272727,199.176704,3.702470215,1.35,0.327272727,0,0.772413077,2.36912,0.426053133,Stable_Cubic,Mg,0,3
KMgBr3,5.36,5.36,5.36,,1.64,0.72,1.96,0.82,1.31,2.96,0.5,-0.4,3.36,0.94984493,0.367346939,153.990656,3.26844295,1.65,0.367346939,0,0.744583597,2.23064,0.41182608,Stable_Cubic,Mg,0,3
KMgCl3,5.06,5.06,5.06,,1.64,0.72,1.81,0.82,1.31,3.16,0.5,-0.4,3.61,0.96423652,0.397790055,129.554216,2.173820295,1.85,0.397790055,0,0.729851197,2.14409,0.40047765,Stable_Cubic,Mg,0,3
KMgF3,4.305,4.305,10.045,,1.64,0.72,1.33,0.82,1.31,3.98,0.5,-0.4,3.4,1.024442507,0.541353383,186.1642361,1.071262978,2.67,0.541353383,0.435142635,0.266453354,1.86713,0.341544011,Unstable_Hexagonal,Mg,0,3
KCaI3,8.960457131,8.960457131,12.864,,1.64,1,2.2,0.82,1,2.66,0.5,0.02,3.06,0.848528137,0.454545455,1032.847884,0.739234018,1.66,0.454545455,0.179323003,0.15149571,2.59268,0.278545757,Metastable,Ca,0,0
