formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,True_Structural_Tag
RbCaBr3,8.288422846356235,8.288422846356235,11.8992,1.797,1.72,1.0,1.96,0.82,1.0,2.96,0.49,0.02,3.36,0.8791057279616535,0.5102040816326531,817.450685669376,0.7416510434553696,1.96,0.5102040816326531,0.1793230027965839,0.1469473001622694,2.5003599999999992,0.2608134639546033,Metastable,Ca,0,0,Metastable
RbCaCl3,7.868401418331427,7.868401418331427,11.2962,1.759,1.72,1.0,1.81,0.82,1.0,3.16,0.49,0.02,3.61,0.888287166401606,0.5524861878453039,699.3674073286561,0.5498984653416548,2.16,0.5524861878453039,0.1793230027965839,0.1430128904347268,2.41381,0.2374112918393056,Metastable,Ca,0,0,Metastable
RbCaF3,4.66,4.66,4.66,1.788,1.72,1.0,1.33,0.82,1.0,3.98,0.49,0.02,3.4,0.9256118809523476,0.7518796992481203,101.194696,2.988144101939888,2.98,0.7518796992481203,0.0,0.5441721946356299,2.1368499999999995,0.1228286524648886,Stable_Cubic,Ca,0,0,Stable_Cubic
RbMnI3,5.74,5.74,5.74,2.108,1.72,0.67,2.2,0.82,1.55,2.66,0.49,-0.5,3.06,0.9658043840596746,0.3045454545454545,189.119224,4.574581693503565,1.11,0.3045454545454545,1.5473491632406364e-16,0.8268910227234411,2.33843,0.4675100631665536,Stable_Cubic,Mn,1,4,Stable_Cubic
RbMnBr3,5.26,5.26,5.26,2.123,1.72,0.67,1.96,0.82,1.55,2.96,0.49,-0.5,3.36,0.989411769873192,0.3418367346938776,145.53157599999997,4.335864541176961,1.41,0.3418367346938776,0.0,0.805276884917996,2.1999499999999994,0.4578355498717752,Stable_Cubic,Mn,1,4,Stable_Cubic
RbMnCl3,4.96,4.96,4.96,2.036,1.72,0.67,1.81,0.82,1.55,3.16,0.49,-0.5,3.61,1.006486668382465,0.3701657458563536,122.023936,3.354449327056619,1.61,0.3701657458563536,0.0,0.7956602653883238,2.1134,0.4498788922259606,Stable_Cubic,Mn,1,4,Stable_Cubic
RbMnF3,4.2,4.2,9.8,1.986,1.72,0.67,1.33,0.82,1.55,3.98,0.49,-0.5,3.4,1.0783378413094848,0.5037593984962406,172.872,1.8923040168448328,2.43,0.5037593984962406,0.4351426345763369,0.3016010846833564,1.83644,0.4062269590689636,Unstable_Hexagonal,Mn,1,4,Unstable_Hexagonal
RbFeI3,5.680000000000001,5.680000000000001,5.680000000000001,1.897,1.72,0.64,2.2,0.82,1.83,2.66,0.49,0.16,3.06,0.9760065430462204,0.2909090909090909,183.25043200000005,4.7292430175553415,0.8300000000000001,0.2909090909090909,0.0,0.8524903322525584,2.26512,0.4843638986609505,Stable_Cubic,Fe,1,1,Stable_Cubic
RbFeBr3,5.2,5.2,5.2,1.673,1.72,0.64,1.96,0.82,1.83,2.96,0.49,0.16,3.36,1.0008280595255747,0.326530612244898,140.60800000000003,4.498319341715975,1.13,0.326530612244898,0.0,0.8323242439233036,2.12664,0.4767282952274384,Stable_Cubic,Fe,1,1,Stable_Cubic
RbFeCl3,4.9,4.9,4.9,1.624,1.72,0.64,1.81,0.82,1.83,3.16,0.49,0.16,3.61,1.0188109949340869,0.3535911602209944,117.64900000000004,3.491891949782828,1.33,0.3535911602209944,0.0,0.8238729646029221,2.04009,0.4703104231421564,Stable_Cubic,Fe,1,1,Stable_Cubic
RbFeF3,4.1370000000000005,4.1370000000000005,9.653000000000002,1.625,1.72,0.64,1.33,0.82,1.83,3.98,0.49,0.16,3.4,1.094759229755822,0.4812030075187969,165.20886515700008,1.9891236810307205,2.15,0.4812030075187969,0.435142634576337,0.3146115420202693,1.76313,0.4337842491215766,Unstable_Hexagonal,Fe,1,1,Unstable_Hexagonal
KPbI3,9.25277507453845,9.444542433596242,13.3566,2.568,1.64,1.19,2.2,0.82,2.33,2.66,0.5,0.36,3.06,0.8009705132024608,0.5409090909090909,1167.2095903440122,0.892006533028176,0.33,0.5409090909090909,0.1769814501876088,0.1365153372227711,2.43631,0.1838634255614125,Unstable_Distorted,Pb,1,5,Unstable_Distorted
KPbBr3,8.59771135244723,8.775902261306241,12.411,2.649,1.64,1.19,1.96,0.82,2.33,2.96,0.5,0.36,3.36,0.8081220356417685,0.6071428571428571,936.4431432194998,0.86179544998904,0.6299999999999999,0.6071428571428571,0.1769814501876089,0.1283091635983761,2.29783,0.1420922791987304,Unstable_Distorted,Pb,1,5,Unstable_Distorted
KPbCl3,8.18829652614022,8.358002153624993,11.82,2.529,1.64,1.19,1.81,0.82,2.33,3.16,0.5,0.36,3.61,0.8131727983645296,0.6574585635359116,808.9347960000001,0.723593981732985,0.8300000000000001,0.6574585635359116,0.1769814501876088,0.1236819334285747,2.21128,0.1100899640238329,Unstable_Distorted,Pb,1,5,Unstable_Distorted
KPbF3,7.056359990816795,7.056359990816795,10.1304,2.362,1.64,1.19,1.33,0.82,2.33,3.98,0.5,0.36,3.4,0.8333758492555737,0.894736842105263,504.415068208128,0.9974793611684823,1.65,0.894736842105263,0.1793230027965839,0.1092342566064825,1.93432,-0.0433822219447302,Metastable,Pb,1,5,Metastable
KSnI3,9.240471416545804,9.240471416545804,13.266,2.872,1.64,1.1,2.2,0.82,1.96,2.66,0.5,1.11,3.06,0.8228151635625279,0.5,1132.734814992,0.7894175919774438,0.7000000000000002,0.5,0.179323002796584,0.1393605202171201,2.45838,0.2282303206387072,Metastable,Sn,1,6,Metastable
KSnBr3,8.568437131706109,8.568437131706109,12.3012,2.699,1.64,1.1,1.96,0.82,1.96,2.96,0.5,1.11,3.36,0.8318903308077029,0.5612244897959184,903.130914761856,0.7308626459476814,1.0,0.5612244897959184,0.1793230027965839,0.1313992653491254,2.3199,0.1913607495953316,Metastable,Sn,1,6,Metastable
KSnCl3,8.1484157036813,8.1484157036813,11.6982,2.663,1.64,1.1,1.81,0.82,1.96,3.16,0.5,1.11,3.61,0.8383224725407522,0.6077348066298343,776.7216241947363,0.5644011269217486,1.2000000000000002,0.6077348066298343,0.1793230027965839,0.1269014776548572,2.23335,0.163025479799019,Metastable,Sn,1,6,Metastable
KSnF3,6.804347134001911,6.804347134001911,9.7686,2.7,1.64,1.1,1.33,0.82,1.96,3.98,0.5,1.11,3.4,0.8642416214502245,0.8270676691729324,452.2777782225121,0.787537763628005,2.02,0.8270676691729324,0.1793230027965838,0.11854641069787,1.9563900000000003,0.0262819842600454,Metastable,Sn,1,6,Metastable
KGeI3,5.86,5.86,5.86,2.131,1.64,0.73,2.2,0.82,2.01,2.66,0.5,1.23,3.06,0.9267201500874888,0.3318181818181818,201.23005600000005,4.063259297607113,0.6500000000000004,0.3318181818181818,0.0,0.7648596187929956,2.23489,0.4205956915664,Stable_Cubic,Ge,1,2,Stable_Cubic
KGeBr3,5.38,5.38,5.38,1.914,1.64,0.73,1.96,0.82,2.01,2.96,0.5,1.23,3.36,0.946313907907647,0.3724489795918367,155.720872,3.747177552409288,0.9500000000000002,0.3724489795918367,0.0,0.736734697647443,2.09641,0.4057225043192778,Stable_Cubic,Ge,1,2,Stable_Cubic
KGeCl3,5.08,5.08,5.08,1.916,1.64,0.73,1.81,0.82,2.01,3.16,0.5,1.23,3.61,0.960440313028972,0.4033149171270718,131.096512,2.76004037391933,1.1500000000000004,0.4033149171270718,0.0,0.7217686514292423,2.0098599999999998,0.3938876549026434,Stable_Cubic,Ge,1,2,Stable_Cubic
KGeF3,4.12,4.12,4.12,1.764,1.64,0.73,1.33,0.82,2.01,3.98,0.5,1.23,3.4,1.0194694854971096,0.5488721804511277,69.934528,3.998524677252415,1.97,0.5488721804511277,0.0,0.7102376966526579,1.7329,0.3327122946675091,Stable_Cubic,Ge,1,2,Stable_Cubic
KZnI3,5.880000000000001,5.880000000000001,5.880000000000001,2.264,1.64,0.74,2.2,0.82,1.65,2.66,0.5,-0.6,3.06,0.9235680407334496,0.3363636363636363,203.29747200000008,3.962311710398444,1.0100000000000002,0.3363636363636363,1.5105075164968116e-16,0.7574153782133705,2.31266,0.415153513889458,Stable_Cubic,Zn,1,8,Stable_Cubic
