formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
FALiS3,2.53,0.9,0.88,2.57,0.98,2.58,1.3548305071277593,1.0227272727272727,45.118016000000004,5.454384334361786
FALiSe3,2.53,0.9,1.0133333333333334,2.57,0.98,2.55,1.3097004075718668,0.888157894736842,56.03532562962965,8.560838961505961
FABeI3,2.53,0.59,1.2733333333333334,2.57,1.57,2.66,1.4435253901060947,0.4633507853403141,51.756112296296294,13.949953059920547
FABeBr3,2.53,0.59,0.8825000000000001,2.57,1.57,2.96,1.6389584629091092,0.668555240793201,25.542058625000006,19.09992932087037
FABeCl3,2.53,0.59,0.7799999999999999,2.57,1.57,3.16,1.7086693028009787,0.7564102564102565,20.570823999999995,12.950792455778606
FABeF3,2.53,0.59,0.705,2.57,1.57,3.98,1.7666686690731954,0.8368794326241135,17.373979,10.615648482292016
FABeO3,2.53,0.59,1.26,2.57,1.57,3.44,1.448832141901449,0.4682539682539682,50.653000000000006,3.3462148079066467
FABeS3,2.53,0.59,0.88,2.57,1.57,2.58,1.6405430630526612,0.6704545454545454,25.412184,9.819319688729717
FABeSe3,2.53,0.59,1.0133333333333334,2.57,1.57,2.55,1.5629273055015627,0.582236842105263,32.973226962962976,14.652759295607904
FABI3,2.53,0.41,1.2733333333333334,2.57,2.04,2.66,1.597882560533281,0.3219895287958115,38.1592962962963,18.998841300713536
FABBr3,2.53,0.41,0.8825000000000001,2.57,2.04,2.96,1.8672079973954843,0.4645892351274787,17.273551625,28.4156149520268
FABCl3,2.53,0.41,0.7799999999999999,2.57,2.04,3.16,1.967123483056589,0.5256410256410257,13.481271999999999,19.98294742894281
FABF3,2.53,0.41,0.705,2.57,2.04,3.98,2.0518707860536214,0.5815602836879432,11.089567,16.900852051811636
FABO3,2.53,0.41,1.26,2.57,2.04,3.44,1.6049936901303479,0.32539682539682535,37.25970399999999,4.629207361599671
FABS3,2.53,0.41,0.88,2.57,2.04,2.58,1.8694560485948926,0.4659090909090909,17.173512000000002,14.703890274030819
FABSe3,2.53,0.41,1.0133333333333334,2.57,2.04,2.55,1.760580875752346,0.4046052631578947,23.067994962962963,21.074039423504043
FANaI3,2.53,1.16,1.2733333333333334,2.57,0.93,2.66,1.105384511053845,0.9109947643979056,115.26429629629634,6.465195496878284
FANaBr3,2.53,1.16,0.8825000000000001,2.57,0.93,2.96,1.181574705818195,1.3144475920679886,68.167314125,7.497176517446908
FANaCl3,2.53,1.16,0.7799999999999999,2.57,0.93,3.16,1.206637600431619,1.4871794871794872,58.411072,4.9582953132019005
FANaF3,2.53,1.16,0.705,2.57,0.93,3.98,1.2267216763805835,1.6453900709219857,51.89511699999998,4.001280622819925
FANaO3,2.53,1.16,1.26,2.57,0.93,3.44,1.1075782902965623,0.9206349206349206,113.379904,1.6996547371679271
FANaS3,2.53,1.16,0.88,2.57,0.93,2.58,1.1821560307291232,1.3181818181818181,67.91731200000001,4.015783648109803
FANaSe3,2.53,1.16,1.0133333333333334,2.57,0.93,2.55,1.1530184569727788,1.144736842105263,82.12379496296296,6.1658089520151576
FAMgI3,2.53,0.86,1.2733333333333334,2.57,1.31,2.66,1.2608292079207921,0.675392670157068,77.6722962962963,9.622352988725483
FAMgBr3,2.53,0.86,0.8825000000000001,2.57,1.31,2.96,1.385002201798372,0.9745042492917846,42.32610912500001,12.126000720779826
FAMgCl3,2.53,0.86,0.7799999999999999,2.57,1.31,3.16,1.4273639907544762,1.1025641025641026,35.28755199999999,8.269300958561182
FAMgF3,2.53,0.86,0.705,2.57,1.31,3.98,1.4618759913417174,1.2198581560283688,30.664296999999998,6.842842968591501
FAMgO3,2.53,0.86,1.26,2.57,1.31,3.44,1.264311067225321,0.6825396825396826,76.225024,2.5567815364075646
