formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KGeI3,1.52,0.77,1.2733333333333334,0.82,2.01,2.66,0.50145913,1.232676413,3.059046537,0.9666484219157044,0.6047120418848168,4.086666666666667,4.086666666666667,4.086666666666667,68.2507842962963,11.981612014699444
KGeBr3,1.52,0.77,0.8825000000000001,0.82,2.01,2.96,0.50145913,1.232676413,3.3635883,1.0280327030563874,0.8725212464589235,3.305,3.305,3.305,36.100597625000006,16.166230834991097
KGeCl3,1.52,0.77,0.7799999999999999,0.82,2.01,3.16,0.50145913,1.232676413,3.61272528,1.0492552236961672,0.9871794871794873,3.0999999999999996,3.0999999999999996,3.0999999999999996,29.79099999999999,12.156945127998505
KGeF3,1.52,0.77,0.705,0.82,2.01,3.98,0.50145913,1.232676413,3.401189824,1.0666526021288596,1.0921985815602837,2.95,2.95,2.95,25.672375000000006,10.914266165190293
KGeO3,1.52,0.77,1.26,0.82,2.01,3.44,0.50145913,1.232676413,1.461112979,0.9683531289155675,0.6111111111111112,4.0600000000000005,4.0600000000000005,4.0600000000000005,66.92341600000003,3.9635588641313397
KGeS3,1.52,0.77,0.88,0.82,2.01,2.58,0.50145913,1.232676413,2.07710426,1.02851895445316,0.875,3.3,3.3,3.3,35.937,9.608187626253617
KTiI3,1.52,0.8516666666666667,1.2733333333333334,0.82,1.54,2.66,0.50145913,0.075545,3.059046537,0.9294987962891401,0.668848167539267,4.25,4.25,4.25,76.765625,10.116727653668013
KTiBr3,1.52,0.8516666666666667,0.8825000000000001,0.82,1.54,2.96,0.50145913,0.075545,3.3635883,0.9796198222781431,0.9650613786591123,3.4683333333333337,3.4683333333333337,3.4683333333333337,41.721747412037054,13.00216631103563
KTiCl3,1.52,0.8516666666666667,0.7799999999999999,0.82,1.54,3.16,0.50145913,0.075545,3.61272528,0.9967388743998319,1.091880341880342,3.263333333333333,3.263333333333333,3.263333333333333,34.7523607037037,9.237647456434074
KTiF3,1.52,0.8516666666666667,0.705,0.82,1.54,3.98,0.50145913,0.075545,3.401189824,1.010693311439016,1.2080378250591017,3.1133333333333333,3.1133333333333333,3.1133333333333333,30.1770557037037,7.921834400984382
KTiO3,1.52,0.8516666666666667,1.26,0.82,1.54,3.44,0.50145913,0.075545,1.461112979,0.9309030079077831,0.6759259259259259,4.223333333333334,4.223333333333334,4.223333333333334,75.32967270370372,2.975154342402643
KTiS3,1.52,0.8516666666666667,0.88,0.82,1.54,2.58,0.50145913,0.075545,2.07710426,0.9800132482277462,0.9678030303030303,3.4633333333333334,3.4633333333333334,3.4633333333333334,41.54156737037037,7.321628964174763
KZnI3,1.52,0.88,1.2733333333333334,0.82,1.65,2.66,0.50145913,-0.62,3.059046537,0.9172685489695461,0.6910994764397905,4.306666666666667,4.306666666666667,4.306666666666667,79.87737362962963,10.087296838463251
KZnBr3,1.52,0.88,0.8825000000000001,0.82,1.65,2.96,0.50145913,-0.62,3.3635883,0.9638717967663433,0.9971671388101983,3.5250000000000004,3.5250000000000004,3.5250000000000004,43.800328125000014,13.050198030420079
