formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
RbPbCl3,1.72,1.19,1.81,0.82,2.33,3.16,0.49,0.36,3.61,0.8320289791961709,0.6574585635359116,6.0,6.0,6.0,216.0,3.067610120914671
RbPbO3,1.72,1.19,1.4,0.82,2.33,3.44,0.49,0.36,1.46,0.8518043078386209,0.85,5.18,5.18,5.18,138.991832,4.070088570062382
RbPbF3,1.72,1.19,1.33,0.82,2.33,3.98,0.49,0.36,3.4,0.8558236835789562,0.894736842105263,5.04,5.04,5.04,128.024064,4.535119665852205
RbSnI3,1.72,1.1,2.2,0.82,1.96,2.66,0.49,1.11,3.05,0.8399571461367472,0.5,6.6000000000000005,6.6000000000000005,6.6000000000000005,287.4960000000001,3.378211124052131
RbSnBr3,1.72,1.1,1.96,0.82,1.96,2.96,0.49,1.11,3.36,0.8503767826034296,0.5612244897959184,6.12,6.12,6.12,229.22092800000001,3.2155907862174855
RbSnCl3,1.72,1.1,1.81,0.82,1.96,3.16,0.49,1.11,3.61,0.8577618342228566,0.6077348066298343,5.82,5.82,5.82,197.13736800000004,2.615651455993806
RbSnO3,1.72,1.1,1.4,0.82,1.96,3.44,0.49,1.11,1.46,0.8824692629208113,0.7857142857142858,5.0,5.0,5.0,125.0,3.3499833942211894
RbSnF3,1.72,1.1,1.33,0.82,1.96,3.98,0.49,1.11,3.4,0.8875208570448434,0.8270676691729324,4.86,4.86,4.86,114.79125600000002,3.777668465193369
RbGeI3,1.72,0.73,2.2,0.82,2.01,2.66,0.49,1.16,3.05,0.9460268198809781,0.3318181818181818,5.86,5.86,5.86,201.23005600000002,4.446251122337777
RbGeBr3,1.72,0.73,1.96,0.82,2.01,2.96,0.49,1.16,3.36,0.9673431058611504,0.37244897959183676,5.38,5.38,5.38,155.72087199999999,4.242063845510857
RbGeCl3,1.72,0.73,1.81,0.82,2.01,3.16,0.49,1.16,3.61,0.982711392751383,0.4033149171270718,5.08,5.08,5.08,131.09651200000002,3.349744504701916
RbGeO3,1.72,0.73,1.4,0.82,2.01,3.44,0.49,1.16,1.46,1.0357620456817034,0.5214285714285715,4.26,4.26,4.26,77.308776,4.42698900439519
RbGeF3,1.72,0.73,1.33,0.82,2.01,3.98,0.49,1.16,3.4,1.0469299430189174,0.5488721804511277,4.12,4.12,4.12,69.934528,5.1067833744261675
RbTiI3,1.72,0.605,2.2,0.82,1.54,2.66,0.49,0.08,3.05,0.988184877807938,0.27499999999999997,5.61,5.61,5.61,176.55848100000003,4.834678284313019
RbTiBr3,1.72,0.605,1.96,0.82,1.54,2.96,0.49,0.08,3.36,1.0144845827549687,0.3086734693877551,5.13,5.13,5.13,135.005697,4.588413574625098
RbTiCl3,1.72,0.605,1.81,0.82,1.54,3.16,0.49,0.08,3.61,1.033576371672262,0.3342541436464088,4.83,4.83,4.83,112.67858700000001,3.5323828858582322
RbTiO3,1.72,0.605,1.4,0.82,1.54,3.44,0.49,0.08,1.46,1.1003357393027573,0.43214285714285716,4.01,4.01,4.01,64.48120099999998,4.670030773141925
RbTiF3,1.72,0.605,1.33,0.82,1.54,3.98,0.49,0.08,3.4,1.1145610762888731,0.45488721804511273,3.87,3.87,3.87,57.960603000000006,5.452403187603834
RbMgI3,1.72,0.72,2.2,0.82,1.31,2.66,0.49,-0.42,3.05,0.9492666377572829,0.3272727272727272,5.84,5.84,5.84,199.17670399999997,4.089234447434249
RbMgBr3,1.72,0.72,1.96,0.82,1.31,2.96,0.49,-0.42,3.36,0.970952595062125,0.3673469387755102,5.359999999999999,5.359999999999999,5.359999999999999,153.99065599999994,3.768662157577569
RbMgCl3,1.72,0.72,1.81,0.82,1.31,3.16,0.49,-0.42,3.61,0.9865956275053409,0.39779005524861877,5.0600000000000005,5.0600000000000005,5.0600000000000005,129.55421600000003,2.770274164159274
RbMgO3,1.72,0.72,1.4,0.82,1.31,3.44,0.49,-0.42,1.46,1.0406477157085037,0.5142857142857143,4.24,4.24,4.24,76.225024,3.4372698666565458
RbMgF3,1.72,0.72,1.33,0.82,1.31,3.98,0.49,-0.42,3.4,1.052036918350717,0.5413533834586466,4.1,4.1,4.1,68.92099999999998,4.0176631458316425
RbCaI3,1.72,1.0,2.2,0.82,1.0,2.66,0.49,0.02,3.05,0.8662058069535206,0.45454545454545453,6.4,6.4,6.4,262.14400000000006,3.2068922130897644
RbCaBr3,1.72,1.0,1.96,0.82,1.0,2.96,0.49,0.02,3.36,0.8791057279616535,0.5102040816326531,5.92,5.92,5.92,207.474688,2.923373819329389
RbCaCl3,1.72,1.0,1.81,0.82,1.0,3.16,0.49,0.02,3.61,0.888287166401606,0.5524861878453039,5.62,5.62,5.62,177.50432800000002,2.169457020944855
RbCaO3,1.72,1.0,1.4,0.82,1.0,3.44,0.49,0.02,1.46,0.9192388155425119,0.7142857142857143,4.8,4.8,4.8,110.59199999999998,2.605914453716005
RbCaF3,1.72,1.0,1.33,0.82,1.0,3.98,0.49,0.02,3.4,0.9256118809523475,0.7518796992481203,4.66,4.66,4.66,101.19469600000001,2.995104356643859
RbSrI3,1.72,1.18,2.2,0.82,0.95,2.66,0.49,0.05,3.05,0.8200765036246349,0.5363636363636363,6.76,6.76,6.76,308.915776,2.9769001657455725
RbSrBr3,1.72,1.18,1.96,0.82,0.95,2.96,0.49,0.05,3.36,0.8287111320912405,0.6020408163265306,6.279999999999999,6.279999999999999,6.279999999999999,247.67315199999993,2.767639277834815
RbSrCl3,1.72,1.18,1.81,0.82,0.95,3.16,0.49,0.05,3.61,0.8348116848122115,0.6519337016574586,5.98,5.98,5.98,213.84719200000004,2.169922732000695
RbSrO3,1.72,1.18,1.4,0.82,0.95,3.44,0.49,0.05,1.46,0.8551058749232667,0.8428571428571429,5.16,5.16,5.16,137.38809600000002,2.6722632776931348
RbSrF3,1.72,1.18,1.33,0.82,0.95,3.98,0.49,0.05,3.4,0.8592333396888326,0.8872180451127819,5.02,5.02,5.02,126.50600799999997,3.0198767107287883
RbZnI3,1.72,0.74,2.2,0.82,1.65,2.66,0.49,-0.42,3.05,0.9428090415820631,0.3363636363636363,5.880000000000001,5.880000000000001,5.880000000000001,203.29747200000008,4.341815783622235
RbZnBr3,1.72,0.74,1.96,0.82,1.65,2.96,0.49,-0.42,3.36,0.9637603536172201,0.37755102040816324,5.4,5.4,5.4,157.46400000000003,4.118647382669242
RbZnCl3,1.72,0.74,1.81,0.82,1.65,3.16,0.49,-0.42,3.61,0.9788576225837305,0.4088397790055249,5.1,5.1,5.1,132.65099999999998,3.219731709671204
RbZnO3,1.72,0.74,1.4,0.82,1.65,3.44,0.49,-0.42,1.46,1.0309220361224432,0.5285714285714286,4.279999999999999,4.279999999999999,4.279999999999999,78.40275199999996,4.211662259728548
RbZnF3,1.72,0.74,1.33,0.82,1.65,3.98,0.49,-0.42,3.4,1.0418723104439465,0.556390977443609,4.140000000000001,4.140000000000001,4.140000000000001,70.95794400000003,4.863462436999967
RbCdI3,1.72,0.95,2.2,0.82,1.69,2.66,0.49,-0.42,3.05,0.8799551054765923,0.43181818181818177,6.300000000000001,6.300000000000001,6.300000000000001,250.04700000000008,3.8423862331815855
RbCdBr3,1.72,0.95,1.96,0.82,1.69,2.96,0.49,-0.42,3.36,0.8942106373768022,0.4846938775510204,5.82,5.82,5.82,197.13736800000004,3.6859357339745253
RbCdCl3,1.72,0.95,1.81,0.82,1.69,3.16,0.49,-0.42,3.61,0.9043793252132294,0.5248618784530387,5.52,5.52,5.52,168.19660799999997,3.00361353760387
RbCdO3,1.72,0.95,1.4,0.82,1.69,3.44,0.49,-0.42,1.46,0.9387970882136292,0.6785714285714286,4.699999999999999,4.699999999999999,4.699999999999999,103.82299999999995,3.932682444212875
RbCdF3,1.72,0.95,1.33,0.82,1.69,3.98,0.49,-0.42,3.4,0.9459103871135831,0.7142857142857142,4.5600000000000005,4.5600000000000005,4.5600000000000005,94.81881600000003,4.463230937190816
RbMnI3,1.72,0.67,2.2,0.82,1.55,2.66,0.49,-0.52,3.05,0.9658043840596746,0.30454545454545456,5.74,5.74,5.74,189.11922400000003,4.57565191585911
RbMnBr3,1.72,0.67,1.96,0.82,1.55,2.96,0.49,-0.52,3.36,0.9894117698731919,0.3418367346938776,5.26,5.26,5.26,145.53157599999997,4.337218600490648
RbMnCl3,1.72,0.67,1.81,0.82,1.55,3.16,0.49,-0.52,3.61,1.006486668382465,0.3701657458563536,4.96,4.96,4.96,122.02393599999999,3.3580640927767114
RbMnO3,1.72,0.67,1.4,0.82,1.55,3.44,0.49,-0.52,1.46,1.0657841339623324,0.47857142857142865,4.14,4.14,4.14,70.95794399999998,4.409224125469946
RbMnF3,1.72,0.67,1.33,0.82,1.55,3.98,0.49,-0.52,3.4,1.0783378413094848,0.5037593984962406,4.0,4.0,4.0,64.0,5.12132597143806
RbFeI3,1.72,0.645,2.2,0.82,1.83,2.66,0.49,0.16,3.05,0.9742912415645927,0.29318181818181815,5.69,5.69,5.69,184.22000900000003,4.7055413263669505
RbFeBr3,1.72,0.645,1.96,0.82,1.83,2.96,0.49,0.16,3.36,0.9989070843633376,0.32908163265306123,5.21,5.21,5.21,141.420761,4.473978076371132
